@timestamp,event.action,event.category,event.type,file.ctime,file.hash.sha1,file.path,file.size,file.type,host.ip
"Oct 25, 2022 @ 20:02:30.213",created,file,creation,"Oct 25, 2022 @ 20:02:30.198",7a5aaf3077abc33a2a5772f710b1bd693afd9218,/home/resch/destination/startup_network.log,90,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 20:00:38.089",deleted,file,deletion,-,-,/etc/default/startup_network,-,-,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 20:00:33.102",deleted,file,deletion,-,-,/etc/init.d/startup_network,-,-,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:57:13.251","updated, attributes_modified",file,change,"Oct 25, 2022 @ 19:57:13.243",690d02516fb820f58909422524ed3cc05a568c9c,/etc/default/startup_network,12,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:57:13.249",created,file,creation,"Oct 25, 2022 @ 19:57:13.243",da39a3ee5e6b4b0d3255bfef95601890afd80709,/etc/default/startup_network,0,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:57:13.247",attributes_modified,file,change,"Oct 25, 2022 @ 19:57:13.243",abc8f4acb74827b7065339b3967f050ed913d4fc,/etc/init.d/startup_network,738,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:57:13.239","updated, attributes_modified",file,change,"Oct 25, 2022 @ 19:57:13.233",abc8f4acb74827b7065339b3967f050ed913d4fc,/etc/init.d/startup_network,738,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:57:13.238",created,file,creation,"Oct 25, 2022 @ 19:57:13.233",da39a3ee5e6b4b0d3255bfef95601890afd80709,/etc/init.d/startup_network,0,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:52:18.603",attributes_modified,file,change,"Oct 25, 2022 @ 19:52:18.595",37790ef39e258bd7a7bff8282d119e7845ef9e00,/home/resch/.scripts/startup_scripts.sh,46,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:52:18.601",created,file,creation,"Oct 25, 2022 @ 19:52:18.595",37790ef39e258bd7a7bff8282d119e7845ef9e00,/home/resch/.scripts/startup_scripts.sh,46,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:49:37.347",attributes_modified,file,change,"Oct 25, 2022 @ 19:49:37.344",179488ca3fed7d7ef6484a485552a85a047f8cca,/home/resch/.scripts/Gp5_persistence2.sh,946,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:49:19.110",attributes_modified,file,change,"Oct 25, 2022 @ 19:49:19.101",c76f424996a38183ee0a69ba1e8d86bb57fdeca6,/home/resch/.scripts/Gp5_persistence1.sh,521,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:49:06.056",created,file,creation,"Oct 25, 2022 @ 19:49:06.041",179488ca3fed7d7ef6484a485552a85a047f8cca,/home/resch/.scripts/Gp5_persistence2.sh,946,file,"172.17.0.3, 172.18.0.2"
"Oct 25, 2022 @ 19:44:35.164",created,file,creation,"Oct 25, 2022 @ 19:44:35.155",c76f424996a38183ee0a69ba1e8d86bb57fdeca6,/home/resch/.scripts/Gp5_persistence1.sh,521,file,"172.17.0.3, 172.18.0.2"
